4,5,6,8
,"Dec 30, 2023","Dec 31, 2022","Dec 25, 2021"
$,"$54,228","63,054","79,024"
,,,"(4,306)"
$,"54,228 $","63,054","74,718"
,40.0 %,42.6 %,55.4 %
,2.3 %,2.1 %,1.6 %
,1.3 %,1.0 %,0.4 %
,%,0.3 %,%
,%,1.1 %,%
,%,%,0.6 %
,43.6 %,47.3 %,58.1 %
$,0.40 $,1.94,4.86
,0.33,0.37,0.36
,0.77,0.76,0.50
,,0.05,
,,0.18,
,(0.01),,0.65
,(0.01),(1.04),(0.67)
,(0.04),(0.28),
,,,(0.33)
,(0.02),,
,(0.37),(0.31),(0.32)
$,1.05 $,1.67,5.05
"Dec 31, 2022","Dec 25, 2021","Dec 26, 2020","Dec 28, 2019"
"15,433","$29,456","$35,864","32,618"
