Years Ended,Column_2,"Dec 29, 2018","Dec 28, 2019","Dec 26, 2020","Dec 25, 2021","Dec 31, 2022","Dec 30, 2023"
Intel Corporation,$,100 $,132 $,106 $,118 $,63 $,123
S&P 100 Index,$,100 $,134 $,160 $,209 $,166 $,221
S&P 500 Index,$,100 $,133 $,155 $,200 $,165 $,209
S&P 500 IT Index,$,100 $,152 $,216 $,292 $,211 $,333
SOX Index,$,100 $,165 $,248 $,360 $,235 $,392
1,"The graph and table assume that $100 was invested on the last day of trading for the fiscal year ended December 29, 2018 in Intel's common stock, the S&P 100 Index, S&P 500 Index, S&P 500 IT",,,,,,
"Index, and PHLX Semiconductor Sector Index , and that all dividends were reinvested.",,,,,,,
Issuer Purchases of Equity Securities,,,,,,,
"We have an ongoing authorization, originally approved by our Board of Directors in 2005 and most recently amended on October 24, 2019, to repurchase shares of our common",,,,,,,
"stock in open market or negotiated transactions. Our last share repurchase under this authorization occurred in Q1 2021, and no shares were repurchased during the fiscal year",,,,,,,
"ending December 30, As of December 30, 2023, we were authorized to repurchase up to $0 billion, of which $2 billion remained available.",,,,,,,
"We issue RSUs as part of our equity incentive plans. In our Consolidated Financial Statements, we treat shares of common stock withheld for tax purposes on behalf of our",,,,,,,
employees in connection with the vesting of RSUs as common stock repurchases because they reduce the number of shares that would have been issued upon vesting. These,,,,,,,
withheld shares of common stock are not considered common stock repurchases under our authorized common stock repurchase program.,,,,,,,
Rule 10b5-1 Trading Arrangements,,,,,,,
Our directors and officers (as defined in Rule 16a-1 under the Exchange Act) may from time to time enter into plans or other arrangements for the purchase or sale of our shares,,,,,,,
that are intended to satisfy the affirmative defense conditions of Rule 10b5–1or may represent a non-Rule 10b5-1 trading arrangement under the Exchange Act. During the,,,,,,,
