$54.2B,40.0%43.6%1,$0.40$1.051,$11.5B$(11.9)B1
GAAP,GAAPnon-GAAP,GAAPnon-GAAP,GAAPnon-GAAP
Revenue down 14% from,Gross marginGross margin,Diluted EPSDiluted EPS,OperatingAdjusted free
2022 revenue,down 2.6 pptsdown 3.7 ppts,down $1.54 ordown $0.62 or,cash flowcash flow down
,from 2022from 2022,79% from37% from,down $4.0B or$7.8B or 191%
,,20222022,26% fromfrom 2022
"Lower revenue in CCG,",Lower GAAP gross margin from,Lower GAAP EPS from lower,Lower operating cash flow primarily
"DCAI, and NEX.","lower revenue, higher unit cost,",gross margin and absence of,"driven by lower net income,"
,and higher excess capacity,one-time gains recognized in,partially offset by favorable
,"charges, partially offset by the","2022, partially offset by lower",changes in working capital and
,sell-through of previously,"R&D and MG&A spending, and",other adjustments.
,"reserved inventory, lower",a higher tax benefit.,
,"inventory reserves taken in 2023,",,
,"lower product ramp costs, and",,
,the absence of one-time charges,,
,recognized in 2022.,,
