"In 2024, substantially all of the revenue from our three largest customers was from the sale of platforms and other components by our Intel Products operating segments. Our",Column_2,Column_3,Column_4
three largest customers accounted for the following percentage of our net revenue:,,,
Years Ended,"Dec 28, 2024","Dec 30, 2023","Dec 31, 2022"
Customer A,19 %,19 %,19 %
Customer B,14 %,11 %,12 %
Customer C,12 %,10 %,11 %
Total percentage of net revenue,45 %,40 %,42 %
"Net revenue by region, based on the billing location of the customer, was as follows:",,,
Years Ended (In Millions),"Dec 28, 2024","Dec 30, 2023","Dec 31, 2022"
China,"$15,532","14,854","17,125"
Singapore,"10,187","8,602","9,664"
Taiwan,"7,804","6,867","8,287"
Other regions,"6,584","9,947","11,449"
Total net revenue,"$53,101","54,228","63,054"
