(In Millions),Column_2,Ireland SCIP,Column_4,Arizona SCIP,Column_6,Mobileye,Column_8,IMS Nano,Column_10,Total
"Non-controlling interests as of Dec 30, 2023",$,—,$,"2,359",$,"1,838",$,178,$,"4,375"
Partner contributions,,—,,"1,702",,—,,—,,"1,702"
Partner distributions,,(43),,—,,—,,—,,(43)
Changes in equity of non-controlling interest holders,,—,,—,,205,,—,,205
Net income attributable to non-controlling interests,,104,,(173),,(371),,(37),,(477)
"Non-controlling interests as of Dec 28, 2024",$,61,$,"3,888",$,"1,672",$,141,$,"5,762"
(In Millions),,Ireland SCIP,,Arizona SCIP,,Mobileye,,IMS Nano,,Total
"Non-controlling interests as of Dec 31, 2022",$,—,$,874,$,989,$,—,$,"1,863"
Partner contributions,,—,,"1,511",,—,,—,,"1,511"
Changes in equity of non-controlling interest holders,,—,,—,,848,,167,,"1,015"
Net income attributable to non-controlling interests,,—,,(26),,1,,11,,(14)
"Non-controlling interests as of Dec 30, 2023",$,—,$,"2,359",$,"1,838",$,178,$,"4,375"
