"The preparation of our Consolidated Financial Statements is in conformity with US GAAP. Our Form 10-K includes key metrics that we use to measure our business, some of",Column_2
"which are non-GAAP measures. See ""Non-GAAP Financial Measures"" within MD&A for an explanation of these measures and why management uses them and believes they",
provide investors with useful supplemental information.,
Fundamentals of Our Business,Page
Availability of Company Information,2
Fundamental of Our Business,3
Our Strategy,3
Our Capital,5
Management's Discussion and Analysis,
Operating Segment Trends and Results,14
Consolidated Results of Operations,23
Liquidity and Capital Resources,28
Critical Accounting Estimates,30
Non-GAAP Financial Measures,30
Risk Factors and Other Key Information,
Risk Factors,31
Sales and Marketing,45
Quantitative and Qualitative Disclosures About Market Risk,47
Cybersecurity,48
Properties,49
Market for Our Common Stock,49
Stock Performance Graph,50
Issuer Purchases of Equity Securities,50
Rule 10b5-1 Trading Arrangements,50
Information About Our Executive Officers,51
Disclosure Pursuant to Section 13of the Securities Exchange Act of 1934,52
Financial Statements and Supplemental Details,
Auditor's Reports,54
Consolidated Financial Statements,57
Notes to Consolidated Financial Statements,62
Key Terms,100
Controls and Procedures,102
Exhibits,103
Form 10-K Cross-Reference Index,108
