0,1,2,3,4,5,6
Years Ended ($ In Millions),,"Dec 28, 2024",,"Dec 30, 2023",,"Dec 31, 2022"
Income (loss) before taxes,$,"(11,210)",$,762,$,"7,768"
Provision for (benefit from) taxes,$,"8,023",$,(913),$,(249)
Effective tax rate,,71.6 %,,(119.8)%,,(3.2)%
"Our effective tax rate increased in 2024 compared to 2023, primarily driven by the effects associated with the establishment of a valuation allowance against our US federal",,,,,,
"deferred tax assets in 2024. We assess the recoverability of our deferred tax assets quarterly, weighing available positive and negative evidence. As a result of our assessment",,,,,,
"in the third quarter of 2024, we determined it was more likely than not that the deferred tax assets will not be recoverable based upon our three-year cumulative historical loss",,,,,,
"position as of the third quarter of 2024, largely resulting from the asset impairment and restructuring and other charges incurred during the third quarter of 2024. Additionally, our",,,,,,
"2024 provision for taxes and 2023 benefit from taxes included R&D tax credits, which provide a tax benefit based on our eligible R&D spending and are not dependent on lower",,,,,,
income before taxes.,,,,,,
